uniqueID,familyname,givenname,type
0_1,He,Rui,1
0_1,He,R,2
0_10,Li,Yan Vivian,1
0_10,Li,Yan,1
0_10,Li,Y,2
0_10,Li,YV,2
0_100,Liu,Xunying,1
0_100,Liu,Xy,2
0_100,Liu,X,2
0_101,Zheng,Zijian,1
0_101,Zheng,Zj,2
0_101,Zheng,Z,2
0_102,Wang,Huanchen,1
0_102,Wang,Hc,2
0_102,Wang,H,2
0_103,Xu,Ding,1
0_103,Xu,D,2
0_104,Hao,Nan,1
0_104,Hao,N,2
0_107,Chen,Yiwen,1
0_107,Chen,Yw,2
0_107,Chen,Y,2
0_108,Cao,Kan,1
0_108,Cao,K,2
0_11,Xiang,Chunhui,1
0_11,Xiang,Ch,2
0_11,Xiang,C,2
0_110,Zha,Shan,1
0_110,Zha,S,2
0_111,Zhang,Jiangwen,1
0_111,Zhang,Jw,2
0_111,Zhang,J,2
0_113,Yao,Shenqin,1
0_113,Yao,Sq,2
0_113,Yao,S,2
0_114,Xie,Huafeng,1
0_114,Xie,Hf,2
0_114,Xie,H,2
0_115,Liao,Jun,1
0_115,Liao,J,2
0_116,Yao,Guang,1
0_116,Yao,G,2
0_117,Liu,Ning,1
0_117,Liu,N,2
0_119,Wang,Feng,1
0_119,Wang,F,2
0_12,Qiu,Kaiyan,1
0_12,Qiu,Ky,2
0_12,Qiu,K,2
0_120,Ye,Tao,1
0_120,Ye,T,2
0_122,Yang,Yongjie,1
0_122,Yang,Yj,2
0_122,Yang,Y,2
0_123,Zhou,Wei,1
0_123,Zhou,W,2
0_124,Tang,Yizhe,1
0_124,Tang,Yz,2
0_124,Tang,Y,2
0_126,Liu,Xinli,1
0_126,Liu,Xl,2
0_126,Liu,X,2
0_128,Zhang,Zhou,1
0_128,Zhang,Z,2
0_129,Liu,Fu,1
0_129,Liu,F,2
0_13,Liu,Luqiao,1
0_13,Liu,Lq,2
0_13,Liu,L,2
0_130,Zhang,Baile,1
0_130,Zhang,Bl,2
0_130,Zhang,B,2
0_131,Xiao,Liang,1
0_131,Xiao,L,2
0_137,Ni,Ni,1
0_137,Ni,N,2
0_138,Dai,Weitao,1
0_138,Dai,Wt,2
0_138,Dai,W,2
0_139,Yao,Yongxin,1
0_139,Yao,Yx,2
0_139,Yao,Y,2
0_14,Cui,Yongtao,1
0_14,Cui,Yt,2
0_14,Cui,Y,2
0_140,Wang,Bingnan,1
0_140,Wang,BN,2
0_140,Wang,B,2
0_141,Zong,Xiaopeng,1
0_141,Zong,Xp,2
0_141,Zong,X,2
0_142,Xu,Xiaodong,1
0_142,Xu,Xd,2
0_142,Xu,X,2
0_144,Ruan,Xiulin,1
0_144,Ruan,Xl,2
0_144,Ruan,X,2
0_145,Wu,Yanwen,1
0_145,Wu,YW,2
0_145,Wu,Y,2
0_146,Sun,Yuze,1
0_146,Sun,Yz,2
0_146,Sun,Y,2
0_147,Yang,Shengyuan,1
0_147,Yang,Sy,2
0_147,Yang,S,2
0_148,Chen,Zhilei,1
0_148,Chen,Zl,2
0_148,Chen,Z,2
0_149,Zhang,Liangfang,1
0_149,Zhang,Lf,2
0_149,Zhang,L,2
0_15,Wang,Chen,1
0_15,Wang,C,2
0_150,Lu,Deyu,1
0_150,Lu,Dy,2
0_150,Lu,D,2
0_151,Yu,Yan,1
0_151,Yu,Y,2
0_152,Deng,Haiyao,1
0_152,Deng,Hy,2
0_152,Deng,H,2
0_153,Xia,Jing,1
0_153,Xia,J,2
0_154,Han,Ju,1
0_154,Han,J,2
0_156,Ni,Kaixuan,1
0_156,Ni,Kx,2
0_156,Ni,K,2
0_157,Lin,Meifeng,1
0_157,Lin,Mf,2
0_157,Lin,M,2
0_158,Wei,Peng,1
0_158,Wei,P,2
0_159,Yang,Zheng,1
0_159,Yang,Z,2
0_16,Ding,Keying,1
0_16,Ding,Ky,2
0_16,Ding,K,2
0_164,Liu,Yongmin,1
0_164,Liu,Ym,2
0_164,Liu,Y,2
0_165,Xu,Cenke,1
0_165,Xu,Ck,2
0_165,Xu,C,2
0_166,Qi,Yabing,1
0_166,Qi,Yb,2
0_166,Qi,Y,2
0_167,Fan,Rong,1
0_167,Fan,R,2
0_168,Li,Tianshu,1
0_168,Li,Ts,2
0_168,Li,T,2
0_169,Ma,Yiping,1
0_169,Ma,Yp,2
0_169,Ma,Y,2
0_17,Zheng,Yueli,1
0_17,Zheng,Yl,2
0_17,Zheng,Y,2
0_170,He,Qing,1
0_170,He,Q,2
0_171,Zhou,Qin,1
0_171,Zhou,Q,2
0_172,Ye,Ziliang,1
0_172,Ye,Zl,2
0_172,Ye,Z,2
0_173,Hu,Xunxiang,1
0_173,Hu,Xx,2
0_173,Hu,X,2
0_174,Feng,Xiaofeng,1
0_174,Feng,Xf,2
0_174,Feng,X,2
0_176,Yao,Yu,1
0_176,Yao,Y,2
0_177,Liu,Peter Q,1
0_177,Liu,Peter Qiang,1
0_177,Liu,PQ,2
0_177,Liu,P,2
0_179,Zhang,Zhili,1
0_179,Zhang,Zl,2
0_179,Zhang,Z,2
0_18,He,Lilin,1
0_18,He,Ll,2
0_18,He,L,2
0_180,Huang,Zhenhua,1
0_180,Huang,Zh,2
0_180,Huang,Z,2
0_186,Ma,Jiasen,1
0_186,Ma,Js,2
0_186,Ma,J,2
0_187,Li,Xin,1
0_187,Li,X,2
0_188,Zhang,Feng,1
0_188,Zhang,F,2
0_189,Xu,Xiaoshan,1
0_189,Xu,Xs,2
0_189,Xu,X,2
