uniqueID,year_not_cover,souce_type,publist_source
0_1,NA,google scholar certified,https://scholar.google.com/citations?hl=zh-CN&user=x_DKmxoAAAAJ&view_op=list_works&sortby=pubdate
0_10,NA,researchgate,https://www.researchgate.net/profile/Yan-Li-8/publications
0_100,NA,google scholar certified,https://scholar.google.co.uk/citations?hl=en&user=5_9jk8AAAAAJ&view_op=list_works&sortby=pubdate
0_101,NA,lab,https://www.polyu.edu.hk/researchgrp/zzheng/publications.html
0_102,NA,google scholar certified,https://scholar.google.com/citations?hl=en&user=ALK59sMAAAAJ&view_op=list_works&sortby=pubdate
0_103,NA,personal website,https://dental.buffalo.edu/faculty/home.html?ubit=dingxu
0_104,NA,lab,http://haolab.ucsd.edu/papers.html
0_107,NA,personal website,https://mdanderson.elsevierpure.com/en/persons/yiwen-chen/publications/
0_108,NA,lab,https://caolabumd.com/publications/
0_11,NA,google scholar certified,https://scholar.google.com/citations?hl=en&user=BVWpqa8AAAAJ&view_op=list_works&sortby=pubdate
0_110,NA,lab,https://www.zhalab.org/publications
0_111,NA,personal website,http://cis.hku.hk/publication.html
0_113,NA,google scholar certified,https://scholar.google.com/citations?hl=en&user=0CwBXFUAAAAJ&view_op=list_works&sortby=pubdate
0_114,NA,google scholar certified,https://scholar.google.com/citations?hl=zh-CN&user=QgJlaX0AAAAJ&view_op=list_works&sortby=pubdate
0_115,NA,researchgate,https://www.researchgate.net/profile/Jun-Liao-3/publications
0_116,NA,personal website,https://mcb.arizona.edu/profile/guang-yao
0_117,NA,personal website,https://utsouthwestern.pure.elsevier.com/en/persons/ning-liu
0_119,NA,lab,https://wanglab.hosted.uark.edu/
0_12,NA,google scholar certified,https://scholar.google.com/citations?hl=en&user=m6gRS4oAAAAJ&view_op=list_works&sortby=pubdate
0_120,NA,lab,https://www.taoyelab.org/publications
0_122,NA,google scholar certified,https://scholar.google.com/citations?hl=en&user=6jaPDHEAAAAJ&view_op=list_works&sortby=pubdate
0_123,NA,personal website,https://profiles.ucsf.edu/wei.zhou
0_124,NA,publons,https://publons.com/researcher/2568413/yizhe-tang/publications/
0_126,NA,personal website,https://uh.edu/pharmacy/directory-home/pps-faculty/xinli-liu/
0_128,NA,personal website,https://www.sydney.edu.au/science/about/our-people/academic-staff/zhou-zhang.html
0_129,NA,personal website,https://www.math.ucdavis.edu/~fuliu/research.html#pubs
0_13,NA,google scholar certified,https://scholar.google.com/citations?hl=zh-CN&user=BIChV30AAAAJ&view_op=list_works&sortby=pubdate
0_130,NA,lab,https://personal.ntu.edu.sg/blzhang/group.html
0_131,NA,personal website,math.uci.edu/~lxiao/
0_137,NA,lab,https://nilab.physics.ucla.edu/
0_138,NA,google scholar certified,https://scholar.google.com/citations?user=lpUKjTAAAAAJ&hl=en
0_139,NA,google scholar certified,https://scholar.google.com/citations?user=h3UMC0EAAAAJ&hl=en
0_14,NA,lab,https://nanowave.ucr.edu/team
0_140,NA,google scholar certified,https://scholar.google.com/citations?user=zWtjCMwAAAAJ&hl=en
0_141,NA,google scholar certified,https://scholar.google.com/citations?user=2BIXCI4AAAAJ&hl=en
0_142,NA,google scholar certified,https://scholar.google.com/citations?user=kjJzDmQAAAAJ&hl=en
0_144,NA,lab,https://engineering.purdue.edu/NANOENERGY/publications.htm
0_145,NA,google scholar certified,https://scholar.google.com/citations?user=hb3QQMMAAAAJ&hl=zh-CN
0_146,NA,personal website,https://mentis.uta.edu/explore/profile/yuze-sun
0_147,NA,google scholar certified,https://scholar.google.com/citations?hl=en&user=HjZXJeIAAAAJ&view_op=list_works&sortby=pubdate
0_148,NA,lab,https://research.tamhsc.edu/zchen/publications/
0_149,NA,lab,http://nano.ucsd.edu/~l7zhang/publications.php
0_15,NA,lab,https://blogs.umass.edu/wangc/
0_150,NA,google scholar certified,https://scholar.google.nl/citations?user=4lMcXC0AAAAJ&hl=en
0_151,NA,lab,https://yu.lab.indiana.edu/publications/
0_152,NA,ORCID,https://orcid.org/0000-0001-6065-483X
0_153,NA,lab,https://www.physics.uci.edu/~xia/X-lab/Publications.html
0_154,NA,google scholar certified,https://scholar.google.com/citations?user=4jVV1I4AAAAJ&hl=en
0_156,NA,lab,https://inspirehep.net/authors/1031198
0_157,NA,google scholar certified,https://scholar.google.com/citations?hl=zh-CN&user=caHYFjYAAAAJ&view_op=list_works&sortby=pubdate
0_158,NA,google scholar certified,https://scholar.google.com/citations?hl=zh-CN&user=KAZ5f7AAAAAJ&view_op=list_works&sortby=pubdate
0_159,NA,google scholar certified,https://scholar.google.com/citations?user=9zqiuGcAAAAJ&hl=zh-CN
0_16,NA,google scholar certified,https://scholar.google.com/citations?hl=en&user=P2akhl0AAAAJ&view_op=list_works&sortby=pubdate
0_164,NA,google scholar certified,https://scholar.google.com/citations?user=dHuCYVUAAAAJ&hl=en
0_165,NA,google scholar certified,https://scholar.google.com/citations?hl=en&user=zEbDN_gAAAAJ&view_op=list_works&sortby=pubdate
0_166,NA,google scholar certified,https://scholar.google.com.au/citations?user=mt2iEE8AAAAJ&hl=en
0_167,NA,lab,https://www.eng.yale.edu/fanlab/Rong_Fan_Group/Publications.html
0_168,NA,google scholar certified,https://scholar.google.com/citations?hl=zh-CN&user=hx400swAAAAJ&view_op=list_works&sortby=pubdate
0_169,NA,personal website,https://researchportal.northumbria.ac.uk/en/persons/yiping-ma/publications/
0_17,NA,google scholar certified,https://scholar.google.com/citations?user=z5Mp_qwAAAAJ&hl=en
0_170,NA,google scholar certified,https://scholar.google.com/citations?user=samPugwAAAAJ&hl=en
0_171,NA,google scholar certified,https://scholar.google.com/citations?hl=zh-CN&user=D9CQb9AAAAAJ&view_op=list_works&sortby=pubdate
